option_set_id,decision,products_mapped,native_products,globo_dependent_products,inactive_products,first_labels
728788,DELETE (no product still needs it),1,1,0,0,Street sign 1 | Size of street sign | Text to appear after 'Our first Christmas as...' | Text to appear in small font below
882717,KEEP for now,1,0,1,0,Group
767521,DELETE (no product still needs it),1,0,0,1,Group
767526,DELETE (no product still needs it),1,1,0,0,Group
768070,DELETE (no product still needs it),1,1,0,0,Group
768071,DELETE (no product still needs it),1,1,0,0,Group
768102,DELETE (no product still needs it),1,1,0,0,Group
768106,KEEP for now,1,0,1,0,Group
768114,KEEP for now,1,0,1,0,Group
768116,DELETE (no product still needs it),1,1,0,0,Group
768122,DELETE (no product still needs it),1,1,0,0,Group
768126,DELETE (no product still needs it),1,1,0,0,Group
768127,DELETE (no product still needs it),1,1,0,0,Group
768144,DELETE (no product still needs it),1,1,0,0,Group
768151,DELETE (no product still needs it),1,1,0,0,Group
768156,DELETE (no product still needs it),1,1,0,0,Group
768158,DELETE (no product still needs it),1,0,0,1,Sign 1 | Colour of sign | Personalisation text line 1 (large font) | Text to appear underneath
768163,DELETE (no product still needs it),1,1,0,0,Group
768240,DELETE (no product still needs it),1,1,0,0,Group
768288,KEEP for now,1,0,1,0,Group
768290,DELETE (no product still needs it),1,1,0,0,Group
768326,DELETE (no product still needs it),1,1,0,0,Group
768335,KEEP for now,1,0,1,0,Picture 1 | Frame Colour | Change wording above pebbles? | New wording...
768344,DELETE (no product still needs it),1,1,0,0,Group
768353,DELETE (no product still needs it),1,1,0,0,Picture 1 | Frame Colour | Name to appear in heart | Text to appear beneath pebble people Line 1
768367,DELETE (no product still needs it),1,1,0,0,Group
768411,KEEP for now,1,0,1,0,Group
768434,KEEP for now,1,0,1,0,Group
768442,KEEP for now,1,0,1,0,Group
768448,KEEP for now,1,0,1,0,Group
768916,KEEP for now,1,0,1,0,Group
768923,KEEP for now,1,0,1,0,Group
768981,DELETE (no product still needs it),1,1,0,0,Group
768988,KEEP for now,1,0,1,0,Group
768990,DELETE (no product still needs it),1,1,0,0,Picture 1 | Frame Colour | Family name to appear on print | No. of pebble characters (If you wish to have dogs/cats in your picture please include these in the total number of pebble characters!)
882542,DELETE (no product still needs it),1,1,0,0,Group
769006,KEEP for now,1,0,1,0,Group
769012,KEEP for now,1,0,1,0,Group
769021,KEEP for now,1,0,1,0,Group
769038,DELETE (no product still needs it),1,0,0,1,Group
769046,DELETE (no product still needs it),1,0,0,1,Keyring 1 | Engraved initial letter to appear |  Full name to appear | **INCREDIBLE OFFER** Buy a second keyring for just £4.95
769051,KEEP for now,1,0,1,0,Group
769063,DELETE (no product still needs it),1,0,0,1,Number plate 1 | Country Code to appear bottom left | Country Flag/Symbol | Large text to appear on number plate (please enter exact letters/numbers as you wish to be shown)
769070,KEEP for now,1,0,1,0,Group
769153,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Message to appear on left side of heart | Message to appear on right side of heart
769165,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Date to appear above pebble people | Text to appear below pebble people (Line 1)
769176,KEEP for now,1,0,1,0,Board 1 | Date established | Names to appear on board | **INCREDIBLE OFFER** Buy a second one for just £14.95
769194,DELETE (no product still needs it),1,0,0,1,Decoration 1 | Number of names to appear | Name 1 | Name 2
769215,DELETE (no product still needs it),1,0,0,1,Decoration 1 | Keep 'Mr & Mrs'? | Titles to appear | Surname to appear
769228,DELETE (no product still needs it),1,0,0,1,Decoration 1 | Name to appear after 'Our 1st christmas with' | Keep 2025 below | Text 16
769231,KEEP for now,1,0,1,0,"Decoration 1 | Number of pebble people (max 8 inc pets) | Size of star | Now, personalise me..."
769260,DELETE (no product still needs it),1,1,0,0,Group
892323,DELETE (no product still needs it),1,1,0,0,Group
769265,DELETE (no product still needs it),1,1,0,0,Group
769281,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Number of angels | Name(s) to appear at the top
769285,DELETE (no product still needs it),1,1,0,0,"Decoration 1 | Number of pebble people (max 8 inc pets) | Size of decoration | Now, personalise me..."
769294,DELETE (no product still needs it),1,1,0,0,Postcard 1 | Name of child or children to appear at the top | Name of Elf to appear at the bottom | Name/address to appear on the left
769298,KEEP for now,1,0,1,0,Decoration 1 | Teacher name to appear at the top | 'Love from' message to appear below | **INCREDIBLE OFFER** Buy a second one for just £5
769303,KEEP for now,1,0,1,0,Keyring 1 | Teacher name to appear | **INCREDIBLE OFFER** Buy a second one for just £2 | Keyring 2
769307,KEEP for now,1,0,1,0,Bookmark 1 | Teacher name to appear | Message to appear below | **INCREDIBLE OFFER** Buy a second one for just £3.95
769308,KEEP for now,1,0,1,0,Bookmark 1 | Bookmark design | Teacher name to appear | Message to appear at the bottom
769708,KEEP for now,1,0,1,0,Bookmark 1 | Select colour | Teacher name to appear | Message to appear at the bottom
769715,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Teacher's name to appear at top of coaster | Message to appear at the bottom of coaster | **INCREDIBLE OFFER** Buy a second one for just £5.95!
769727,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Message to appear at the bottom of coaster | **INCREDIBLE OFFER** Buy a second one for just £5.95! | Coaster 2
769739,KEEP for now,1,0,1,0,Heart 1 | Select type of flower (see image for options) | Flower Name | Text to appear beneath flower
769742,KEEP for now,1,0,1,0,Decoration 1 | Teacher's name to appear at top | Personalised message to appear | Love from message
769747,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear on shirt | **INCREDIBLE OFFER** Buy a second coaster for just £5.95 | Coaster 2
769750,DELETE (no product still needs it),1,0,0,1,Door hanger 1 | Keep Dad? | New name to appear | Message to appear at the bottom of hanger
769752,KEEP for now,1,0,1,0,"Door hanger 1 | Message to appear at the bottom of hanger | **INCREDIBLE OFFER** Buy a second hanger for just £10,95 | Door hanger 2"
769758,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear after 'Probably the best..' | Names to appear after 'Happy Father's Day Love From..' | **INCREDIBLE OFFER** Buy a second coaster for just £5.95
769761,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear after 'perfect'... |  Message to appear at the bottom | **INCREDIBLE OFFER** Buy a second coaster for just £5.95
769766,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Occasion to appear after 'All I got for...' | **INCREDIBLE OFFER** Buy a second coaster for just £5.95 | Coaster 2
769768,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear after 'note from' | Name of recipient to appear in centre | **INCREDIBLE OFFER** Buy a second coaster for just £5.95
769774,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear at top | Names to follow 'Reviewed by...' | **INCREDIBLE OFFER** Buy a second coaster for just £5.95
769775,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Name to appear at top | Message to appear at the bottom | **INCREDIBLE OFFER** Get a second coaster for just £5.95
769779,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Names to appear at top | Name definition | **INCREDIBLE OFFER** Buy a second coaster for just £5.95!
769782,DELETE (no product still needs it),1,1,0,0,Group
769787,DELETE (no product still needs it),1,1,0,0,Sign 1 | Sign colour | Name to appear above | Personalisation to appear beneath
769791,KEEP for now,1,0,1,0,Sign 1 | Sign colour | Name to appear above | Personalisation to appear beneath
769795,KEEP for now,1,0,1,0,Sign 1 | Sign colour | Name to appear on line 1 | Large text to appear in the centre
769800,DELETE (no product still needs it),1,0,0,1,Group
769804,KEEP for now,1,0,1,0,Sign 1 | Name to appear before 'Greenhouse' | **INCREDIBLE OFFER** Buy a second greenhouse sign for just £9.95 | Sign 2
